Id,Label,Interval
143,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,8.41
144,Baccano,8.41
145,Barakamon,8.41
146,Gintama Aizome Kaori-hen,8.41
147,Grand Blue,8.41
148,Houseki no Kuni TV,8.41
149,Hunter x Hunter,8.41
150,Mushoku Tensei Isekai Ittara Honki Dasu,8.44
151,Hellsing Ultimate,8.39
152,Kaze no Tani no Nausica,8.4
153,Kizumonogatari I Tekketsu-hen,8.4
154,Natsume Yuujinchou Roku Specials,8.4
155,Violet Evergarden Gaiden Eien to Jidou Shuki Ningyou,8.4
156,Shingeki no Kyojin Kuinaki Sentaku,8.39
157,Tenki no Ko,8.39
158,Bakuman 2nd Season,8.39
159,Cowboy Bebop Tengoku no Tobira,8.39
160,Kingdom 3rd Season,8.39
161,Kiseijuu Sei no Kakuritsu,8.39
162,Mahou Shoujo MadokaMagica Movie 2 Eien no Monogatari,8.39
163,Haikyuu To the Top,8.38
164,Kingdom 2nd Season,8.38
165,Psycho-Pass,8.38
166,Pui Pui Molcar,8.41
167,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.37
168,Uchuu Senkan Yamato 2199,8.37
169,Hotarubi no Mori e,8.37
170,Kamisama Hajimemashita Kako-hen,8.37
171,Mahou Shoujo MadokaMagica,8.37
172,Major S6,8.37
173,Bakemonogatari,8.36
174,Boku dake ga Inai Machi,8.36
175,Great Pretender,8.36
176,Katanagatari,8.36
177,Luo Xiao Hei Zhan Ji Movie,8.37
178,Ookami to Koushinryou II,8.36
179,Natsume Yuujinchou Itsuka Yuki no Hi ni,8.35
180,Non Non Biyori Nonstop,8.35
181,One Outs,8.35
182,Romeo no Aoi Sora,8.35
183,Sakamichi no Apollon,8.35
184,Shinsekai yori,8.35
185,Shirobako,8.35
186,Kemono no Souja Erin,8.35
187,Major World Series,8.35
188,Mobile Suit Gundam The Origin,8.35
189,Evangelion 20 You Can Not Advance,8.34
190,Fate Zero,8.33
191,Gintama Shiroyasha Koutan,8.34
