105 - 39587 : Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
106 - 16498 : Shingeki_no_Kyojin
107 - 11577 : Steins_Gate_Movie__Fuka_Ryouiki_no_Dj_vu
108 - 44070 : Tian_Guan_Ci_Fu_Special
109 - 36999 : Zoku_Owarimonogatari
110 - 33 : Kenpuu_Denki_Berserk
111 - 37208 : Mo_Dao_Zu_Shi
112 - 32182 : Mob_Psycho_100
113 - 437 : Perfect_Blue
114 - 10165 : Nichijou
115 - 36885 : Saenai_Heroine_no_Sodatekata_Fine
116 - 34612 : Saiki_Kusuo_no_-nan_2
117 - 31181 : Owarimonogatari
118 - 25777 : Shingeki_no_Kyojin_Season_2
119 - 36649 : Banana_Fish
120 - 40059 : Golden_Kamuy_3rd_Season
121 - 24687 : Mushishi_Zoku_Shou__Odoro_no_Michi
122 - 877 : Nana
123 - 467 : Koukaku_Kidoutai__Stand_Alone_Complex
124 - 5028 : Major_S5
125 - 33255 : Saiki_Kusuo_no_-nan
126 - 35851 : Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
127 - 39547 : Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
128 - 392 : YuuYuuHakusho
129 - 21899 : Gintama__Yorinuki_Gintama-san_on_Theater_2D
130 - 42984 : Gotcha
131 - 26055 : JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
132 - 37965 : Kaze_ga_Tsuyoku_Fuiteiru
133 - 11981 : Mahou_Shoujo_MadokaMagica_Movie_3__Hangyaku_no_Monogatari
134 - 31646 : 3-gatsu_no_Lion
135 - 5941 : Cross_Game
136 - 37999 : Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
137 - 5205 : Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go
138 - 38450 : Mo_Dao_Zu_Shi_2nd_Season
139 - 2246 : Mononoke
140 - 14397 : Chihayafuru_2
141 - 38889 : Kono_Oto_Tomare_2nd_Season
142 - 10162 : Usagi_Drop
143 - 36538 : Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
144 - 9989 : Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
145 - 2251 : Baccano
146 - 22789 : Barakamon
147 - 32366 : Gintama__Aizome_Kaori-hen
148 - 37105 : Grand_Blue
149 - 35557 : Houseki_no_Kuni_TV
150 - 136 : Hunter_x_Hunter
151 - 39535 : Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
152 - 777 : Hellsing_Ultimate
153 - 572 : Kaze_no_Tani_no_Nausica
154 - 9260 : Kizumonogatari_I__Tekketsu-hen
155 - 36275 : Natsume_Yuujinchou_Roku_Specials
156 - 39741 : Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
157 - 25781 : Shingeki_no_Kyojin__Kuinaki_Sentaku
158 - 38826 : Tenki_no_Ko
159 - 10030 : Bakuman_2nd_Season
160 - 5 : Cowboy_Bebop__Tengoku_no_Tobira
161 - 40682 : Kingdom_3rd_Season
162 - 22535 : Kiseijuu__Sei_no_Kakuritsu
163 - 11979 : Mahou_Shoujo_MadokaMagica_Movie_2__Eien_no_Monogatari
164 - 38883 : Haikyuu__To_the_Top
165 - 17389 : Kingdom_2nd_Season
166 - 13601 : Psycho-Pass
167 - 44235 : Pui_Pui_Molcar
168 - 37450 : Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
169 - 12029 : Uchuu_Senkan_Yamato_2199
170 - 10408 : Hotarubi_no_Mori_e
171 - 30709 : Kamisama_Hajimemashita__Kako-hen
172 - 9756 : Mahou_Shoujo_MadokaMagica
173 - 7655 : Major_S6
174 - 5081 : Bakemonogatari
175 - 31043 : Boku_dake_ga_Inai_Machi
176 - 40052 : Great_Pretender
177 - 6594 : Katanagatari
178 - 40211 : Luo_Xiao_Hei_Zhan_Ji_Movie
179 - 5341 : Ookami_to_Koushinryou_II
180 - 20651 : Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
181 - 39808 : Non_Non_Biyori_Nonstop
182 - 5040 : One_Outs
